Date,Price,Open,High,Low,Vol.,Change %,Stock symbol,Bank
2018-06-04,10633.7,10028.5,10633.7,10028.5,18000000.0,6.96,VPB,VPBank
2018-06-04,44960.0,42837.0,45187.0,42458.0,4900000.0,4.04,VCB,Vietcombank
2018-06-04,23343.0,22195.0,23419.5,21735.7,6140000.0,2.69,BID,BIDV
2018-06-04,3425.1,3307.0,3425.1,3218.4,112900.0,6.75,AGR,Agribank
2018-06-04,20839.3,20429.2,20951.1,20168.3,7570000.0,1.82,CTG,VietinBank
2018-06-05,23266.4,23189.9,23878.7,22654.2,3860000.0,-0.33,BID,BIDV
2018-06-05,3592.5,3523.6,3631.8,3425.1,140590.0,4.89,AGR,Agribank
2018-06-05,10676.9,10936.2,11174.0,10590.4,21180000.0,0.41,VPB,VPBank
2018-06-05,32000.0,33033.0,35333.0,32000.0,4070000.0000000005,-6.25,TCB,Techcombank
2018-06-05,21174.8,20839.3,21398.5,20727.5,10130000.0,1.61,CTG,VietinBank
2018-06-05,44429.0,44429.0,45187.0,43747.0,4510000.0,-1.18,VCB,Vietcombank
2018-06-06,44808.0,44050.0,45263.0,43671.0,2790000.0,0.85,VCB,Vietcombank
2018-06-06,30667.0,31667.0,32000.0,30333.0,4820000.0,-4.17,TCB,Techcombank
2018-06-06,3612.1,3592.5,3631.8,3543.2,113340.0,0.55,AGR,Agribank
2018-06-06,21584.9,21174.8,21808.6,20951.1,7040000.0,1.94,CTG,VietinBank
2018-06-06,24337.9,23304.7,24337.9,22807.2,3190000.0,4.61,BID,BIDV
2018-06-06,10687.7,10676.9,10784.9,10482.4,9460000.0,0.1,VPB,VPBank
2018-06-07,3641.7,3641.7,3651.5,3592.5,75800.0,0.82,AGR,Agribank
2018-06-07,21137.5,21696.7,21696.7,21100.3,7700000.0,-2.07,CTG,VietinBank
2018-06-07,23878.7,24337.9,24644.1,23878.7,4660000.0,-1.89,BID,BIDV
2018-06-07,44505.0,44732.0,44960.0,44278.0,3240000.0,-0.68,VCB,Vietcombank
2018-06-07,32800.0,31500.0,32800.0,31033.0,4130000.0,6.96,TCB,Techcombank
2018-06-07,10698.5,10720.1,10720.1,10471.6,9710000.0,0.1,VPB,VPBank
2018-06-08,24108.3,23878.7,24261.4,23572.6,3370000.0,0.96,BID,BIDV
2018-06-08,35067.0,33667.0,35067.0,33167.0,6030000.0,6.91,TCB,Techcombank
2018-06-08,45263.0,44202.0,45794.0,44202.0,3440000.0,1.7,VCB,Vietcombank
2018-06-08,3562.9,3641.7,3641.7,3543.2,118030.0,-2.16,AGR,Agribank
2018-06-08,11195.6,10590.4,11195.6,10590.4,18900000.0,4.65,VPB,VPBank
2018-06-08,21286.7,20876.6,21435.8,20876.6,6150000.0,0.71,CTG,VietinBank
2018-06-11,44732.0,45036.0,45718.0,44353.0,3130000.0,-1.17,VCB,Vietcombank
2018-06-11,11498.2,11217.2,11779.1,11130.8,13600000.0,2.7,VPB,VPBank
2018-06-11,36333.0,34933.0,36333.0,34400.0,3690000.0,3.61,TCB,Techcombank
2018-06-11,3533.4,3562.9,3562.9,3444.8,82080.0,-0.83,AGR,Agribank
2018-06-11,23725.6,23802.2,24452.7,23725.6,2920000.0,-1.59,BID,BIDV
2018-06-11,20913.9,21025.7,21435.8,20913.9,5970000.0,-1.75,CTG,VietinBank
2018-06-12,35000.0,36000.0,36000.0,34300.0,3420000.0,-3.67,TCB,Techcombank
2018-06-12,3444.8,3494.0,3523.6,3346.4,58940.0,-2.51,AGR,Agribank
2018-06-12,20429.2,20727.5,20802.0,19795.5,11360000.0,-2.32,CTG,VietinBank
2018-06-12,22654.2,23189.9,23343.0,22080.2,5430000.0,-4.52,BID,BIDV
2018-06-12,43974.0,44353.0,44732.0,42837.0,3860000.0,-1.69,VCB,Vietcombank
2018-06-12,11346.9,11455.0,11455.0,10763.3,20640000.0,-1.32,VPB,VPBank
